aX,aY,aZ,gX,gY,gZ
-0.337,-0.229,0.754,146.851,-33.020,-8.728
-0.181,-0.603,1.112,-15.320,-3.662,-27.527
0.041,0.191,1.412,-29.602,-57.190,22.583
-0.013,-0.038,0.604,-18.982,20.630,5.798
-0.056,-0.119,0.545,6.958,23.132,-6.104
-0.059,0.050,1.516,14.465,-18.311,7.080
-0.073,-0.085,1.183,2.319,19.958,0.244
-0.045,0.007,1.268,-24.414,37.720,1.892
-0.016,-0.010,1.163,-39.368,54.199,2.869
0.067,0.025,0.639,-17.212,41.992,3.296
0.034,0.002,0.547,-2.380,19.043,1.221
0.018,0.006,0.689,5.615,-6.226,3.052
0.015,-0.007,0.704,11.475,-13.794,2.502
0.001,-0.003,0.812,13.184,-20.142,2.136
-0.028,-0.007,1.249,13.306,-24.963,2.441
-0.048,-0.032,1.195,19.592,-21.729,2.686
-0.048,-0.023,1.258,8.850,-5.432,1.587
-0.029,-0.012,1.086,-1.038,2.991,2.686
-0.022,-0.009,0.996,-3.723,8.057,2.991
-0.011,-0.000,0.927,-3.113,10.925,2.747
-0.004,-0.002,0.817,-2.014,11.353,2.380
-0.002,-0.003,0.801,-0.793,8.179,1.953
-0.003,-0.004,0.866,2.319,0.793,2.075
-0.013,-0.004,1.035,5.615,-5.310,2.258
-0.043,-0.024,1.193,6.287,-6.531,2.441
-0.085,-0.004,1.521,1.160,2.441,3.662
-0.089,-0.013,1.863,-3.784,25.269,5.005
-0.059,-0.038,1.740,-10.254,49.133,6.531
-0.036,0.170,1.603,-32.593,66.467,6.470
0.039,0.046,0.635,-34.302,94.727,0.183
0.052,-0.038,0.163,11.292,102.844,-6.165
0.083,-0.024,-0.005,15.381,63.965,-2.136
0.092,-0.096,-0.077,5.981,31.128,-0.061
0.115,0.009,-0.041,-8.606,6.348,0.977
0.082,-0.027,0.035,-11.719,-23.010,3.967
0.054,-0.007,0.280,-13.062,-51.758,5.371
0.030,0.013,0.506,-10.864,-80.750,7.629
0.041,0.094,1.155,-4.883,-101.257,6.348
-0.153,0.545,3.064,93.262,-168.640,12.329
-0.263,-0.184,1.228,127.625,-76.965,-4.272
-0.114,-0.143,1.052,-6.714,6.042,-18.921
-0.005,0.097,1.278,-20.691,-28.625,17.456
-0.017,-0.033,0.636,-14.771,17.578,3.296
-0.050,-0.124,0.709,2.502,18.921,-2.380
-0.045,0.024,1.301,4.761,-6.775,8.301
-0.042,0.008,1.103,-8.179,23.621,0.793
-0.041,-0.019,1.144,-24.170,36.316,1.709
0.031,0.029,0.954,-24.170,41.626,2.563
0.018,-0.008,0.724,-6.653,20.020,3.052
0.005,0.013,0.684,3.174,-0.244,2.991
-0.001,0.005,0.771,8.728,-9.705,2.869
-0.002,0.004,0.796,11.414,-13.306,2.380
-0.027,-0.007,0.965,10.620,-15.564,1.648
-0.046,-0.014,1.100,1.465,1.099,2.563
-0.023,-0.003,1.045,-2.502,6.409,2.930
-0.007,-0.009,0.940,-2.563,8.606,3.113
-0.031,-0.006,1.131,-3.784,10.742,2.625
-0.089,0.043,1.899,-8.484,18.250,4.395
-0.128,-0.207,2.480,-14.709,37.537,8.179
-0.114,0.339,2.467,-93.933,71.228,10.315
-0.108,0.129,1.724,-23.743,125.671,-1.587
-0.062,-0.038,1.229,-3.479,173.157,-11.658
-0.062,-0.080,0.170,9.827,179.871,-12.024
0.061,-0.159,-0.940,28.809,191.101,-16.235
0.058,-0.087,-0.221,1.770,90.820,1.221
0.081,0.048,0.063,-15.564,4.578,8.606
0.069,-0.042,0.016,-30.762,56.091,5.432
0.079,-0.281,-0.557,-28.503,69.641,-2.258
0.064,-0.098,-0.436,4.944,-11.414,7.019
0.043,-0.109,-0.257,15.259,-90.759,21.301
0.054,-0.122,0.027,16.174,-126.282,25.269
