aX,aY,aZ,gX,gY,gZ
0.120,0.034,0.389,-180.176,183.472,-16.541
0.270,-0.185,0.066,-22.156,57.678,-17.883
0.241,-0.173,0.117,-6.653,-11.841,-3.113
0.166,0.017,0.956,46.082,-56.946,8.728
0.307,-0.057,2.209,166.992,-133.850,14.343
-0.062,0.140,2.205,57.739,-32.349,4.333
0.078,-0.147,1.113,-11.597,130.249,-4.578
0.155,-0.064,0.537,-101.501,114.929,-21.484
0.092,-0.151,0.217,67.749,-5.310,5.066
0.257,-0.048,0.824,121.643,-83.740,13.489
0.218,-0.167,0.753,60.486,-11.658,0.793
0.108,-0.163,0.381,-54.810,50.964,-1.770
0.123,-0.136,0.091,-161.072,105.530,-7.080
0.169,-0.218,-0.030,-138.794,57.434,-7.202
0.379,0.046,0.763,-107.239,-8.545,6.836
0.328,-0.257,1.490,195.801,-255.554,26.062
-0.176,0.269,3.450,128.967,-283.752,57.617
-0.276,0.031,1.290,11.536,115.112,22.827
-0.016,0.090,0.501,-120.789,216.614,-11.047
0.255,-0.164,0.069,-110.657,108.704,-23.804
0.319,-0.190,0.109,3.845,-2.136,-10.315
0.167,-0.030,0.704,20.569,-33.813,3.662
0.248,0.079,1.391,105.652,-102.844,10.742
0.040,-0.122,1.508,105.347,-68.054,9.521
0.103,-0.016,1.633,25.085,-11.963,1.404
0.069,-0.073,1.331,15.198,42.908,2.380
0.169,0.033,1.254,-35.828,87.280,-5.005
0.100,-0.061,0.771,-46.936,77.087,-1.953
0.029,-0.046,0.393,2.563,31.677,1.160
0.158,-0.060,0.492,70.313,-40.833,7.019
0.259,-0.187,0.616,53.101,-20.264,-3.845
0.146,-0.175,0.298,-55.908,39.490,-5.493
0.131,-0.160,0.119,-128.174,64.514,-4.517
0.034,-0.210,0.039,-87.280,12.024,-0.549
0.450,0.149,1.555,20.935,-98.511,14.038
0.137,0.140,3.222,209.229,-280.090,30.212
-0.313,0.162,1.794,14.709,-31.006,34.790
-0.136,0.027,0.644,-38.147,163.879,5.188
0.126,-0.035,0.300,-131.287,107.300,-15.015
0.297,-0.087,0.455,-13.245,30.945,-15.259
0.200,0.003,0.922,40.894,-49.622,-3.723
0.125,-0.010,1.198,63.538,-48.584,0.916
0.109,-0.156,1.165,46.448,-29.358,-0.977
0.115,0.079,1.436,22.339,-10.986,0.854
0.070,-0.012,1.395,41.687,11.597,2.686
0.126,-0.120,1.251,-3.113,60.181,-10.803
0.149,-0.124,0.918,-42.786,67.078,-6.165
0.151,-0.095,0.523,-14.587,44.006,2.930
0.167,-0.059,0.431,30.212,-3.662,10.864
0.154,-0.133,0.489,32.288,-4.883,3.601
0.056,-0.147,0.309,-37.903,26.367,-2.014
0.152,-0.166,0.132,-94.788,41.260,-3.662
0.127,-0.100,0.530,-83.130,2.625,-1.404
0.445,0.101,1.682,75.439,-125.366,14.038
0.068,0.122,2.649,153.259,-220.703,33.813
-0.257,0.069,1.500,10.376,-3.052,26.184
-0.036,0.018,0.663,-55.298,133.301,0.366
0.206,-0.050,0.453,-102.173,87.036,-13.489
0.258,0.072,1.016,35.461,-8.179,-6.226
0.316,0.140,1.611,103.638,-31.494,-1.953
0.119,-0.037,1.554,46.936,24.475,-11.047
0.081,-0.118,0.955,-14.160,48.279,-17.212
-0.121,-0.073,0.450,12.939,10.864,1.892
0.136,-0.081,0.706,97.046,-59.570,3.235
0.209,-0.228,0.875,85.693,-29.297,-3.784
0.085,-0.185,0.619,-29.053,38.513,-3.479
0.094,-0.153,0.213,-124.207,83.984,-3.174
0.087,-0.151,0.083,-132.019,80.566,-5.371
0.153,-0.169,0.323,-101.013,24.780,-5.615
0.389,0.097,1.523,-7.568,-64.453,5.615
0.426,-0.024,2.343,186.401,-214.539,25.391
-0.131,0.110,2.068,42.603,-129.211,34.119
-0.126,-0.074,0.827,-3.662,87.769,18.311
0.078,0.002,0.563,-100.891,100.891,-1.404
0.259,-0.036,0.558,-31.555,38.086,-3.235
0.185,0.062,0.881,22.949,-19.287,2.808
0.155,0.008,1.082,39.795,-23.254,1.282
0.135,-0.172,1.055,32.043,-16.785,-6.104
0.105,-0.105,1.041,11.047,-5.981,0.854
0.127,-0.059,0.936,-9.766,4.089,6.531
0.140,0.009,0.895,-12.939,8.240,7.080
0.154,0.085,1.020,-2.319,2.197,5.005
0.130,0.128,1.432,44.434,-11.292,-1.953
0.164,0.046,1.748,66.223,14.038,-7.690
0.141,-0.139,1.163,-17.944,61.218,-10.986
0.126,-0.104,0.580,-43.152,63.843,-12.268
0.173,-0.031,0.625,69.824,-21.545,8.667
0.108,-0.150,0.732,157.349,-69.336,7.080
0.068,-0.152,0.566,13.550,14.038,-1.160
0.036,-0.157,0.191,-100.159,89.722,-11.230
0.253,-0.247,-0.010,-172.485,127.319,-21.973
0.245,-0.302,-0.072,-140.625,57.251,-16.968
0.262,-0.102,0.341,-99.792,-15.747,8.911
0.260,-0.381,1.560,199.585,-279.602,33.569
-0.205,0.267,3.685,123.413,-301.941,68.665
-0.298,0.072,1.492,11.536,113.525,24.780
-0.012,0.103,0.502,-111.572,241.882,-10.071
0.224,-0.156,0.012,-108.704,101.746,-18.188
0.245,-0.158,0.092,8.667,-2.991,-7.324
0.268,0.015,0.761,13.550,-29.419,3.540
0.235,0.110,1.391,109.680,-111.023,12.451
0.036,-0.022,2.084,107.483,-89.600,10.681
-0.029,0.068,1.682,25.085,-5.676,4.944
0.172,0.022,1.336,-2.258,107.788,-5.981
0.138,-0.116,0.839,-61.768,95.825,-8.179
0.079,-0.043,0.447,-19.714,54.321,-1.343
0.149,-0.049,0.565,101.318,-53.833,11.536
0.266,-0.161,0.738,107.056,-55.420,5.676
0.103,-0.210,0.457,-20.142,34.607,-2.563
0.084,-0.116,0.175,-146.973,97.778,-3.296
0.189,-0.224,-0.033,-132.385,69.397,-7.141
0.095,-0.158,0.113,-105.591,-3.174,3.357
0.388,-0.137,1.194,119.690,-180.359,24.902
-0.061,0.248,3.375,169.006,-320.435,53.162
-0.320,0.166,1.761,9.216,49.011,33.630
-0.093,0.054,0.525,-65.674,213.928,-6.531
0.144,-0.067,0.141,-145.081,115.540,-20.020
-0.338,0.123,1.710,12.329,68.054,31.921
-0.042,0.064,0.486,-85.632,251.465,-9.216
0.177,-0.123,0.036,-139.526,116.211,-15.869
0.295,-0.156,0.075,12.878,3.967,-9.827
0.300,0.013,0.683,-4.456,-15.869,-0.122
0.278,0.078,1.579,133.667,-123.962,12.024
-0.139,0.181,2.712,124.634,-118.347,13.062
0.087,-0.180,1.122,15.076,95.825,3.784
0.064,-0.009,0.607,-93.201,134.094,-15.503
0.055,-0.112,0.210,54.749,-3.479,3.418
0.215,-0.186,0.893,166.809,-114.075,11.902
0.157,-0.152,0.948,118.408,-35.645,6.592
0.038,-0.127,0.456,-24.048,64.697,2.380
0.037,-0.076,0.111,-201.233,161.682,-12.390
0.238,-0.238,-0.091,-180.786,128.723,-27.771
0.290,-0.308,-0.187,-144.836,39.307,-20.081
0.279,-0.136,0.325,-53.101,-61.768,1.831
0.354,-0.223,2.841,264.893,-364.014,42.175
-0.269,0.271,3.534,77.515,-237.793,63.049
-0.271,-0.005,1.196,15.259,149.170,18.188
0.039,0.103,0.507,-135.925,252.441,-15.991
0.205,-0.204,-0.075,-84.473,81.604,-14.343
0.312,-0.146,0.162,4.089,-3.845,-7.080
0.329,0.117,1.026,28.259,-35.156,5.981
0.298,0.024,1.649,158.386,-126.587,18.860
-0.094,0.098,2.014,88.013,-71.960,10.193
0.009,-0.190,1.031,22.400,56.335,-6.775
0.148,-0.091,0.645,-80.933,86.670,-13.550
0.185,-0.121,0.353,-41.565,55.969,-6.775
0.195,-0.168,0.402,0.916,13.245,-4.639
0.110,-0.148,0.517,4.211,-5.981,1.038
0.057,-0.174,0.554,-9.277,-16.296,5.005
0.099,-0.059,0.725,-33.997,-17.517,7.141
0.357,0.101,1.434,3.174,-51.086,11.963
0.240,0.061,1.891,116.333,-111.145,21.973
-0.124,0.032,1.476,24.414,-48.523,20.508
0.032,-0.106,0.845,-15.381,58.472,2.258
0.199,-0.068,0.678,-70.862,59.448,-2.808
0.183,0.046,0.779,-18.738,16.907,3.296
0.129,0.032,0.970,23.865,-11.658,3.052
0.123,-0.117,0.985,29.724,-14.099,-3.906
0.120,-0.113,1.004,14.832,-7.324,-2.441
0.124,-0.041,1.003,-1.831,-0.671,3.723
0.130,-0.039,0.935,-4.761,3.540,4.333
0.138,-0.000,0.950,-2.502,2.319,3.906
0.132,-0.027,0.968,4.578,-0.854,2.014
0.125,-0.074,0.968,9.521,-2.380,0.061
0.125,-0.060,0.971,4.456,-0.549,1.587
0.128,-0.035,0.955,-1.160,1.831,3.235
0.130,-0.022,0.948,-0.488,1.648,3.235
0.129,-0.033,0.957,3.357,0.122,2.136
0.126,-0.049,0.972,5.798,-1.160,1.465
0.117,-0.060,0.969,4.944,-0.732,1.587
0.166,0.040,1.182,5.127,-0.977,2.747
0.139,-0.006,1.465,50.354,-11.475,3.296
0.110,0.145,1.570,24.963,26.062,2.441
0.071,-0.079,0.879,-3.723,56.091,-8.179
0.104,-0.022,0.829,-12.390,37.231,-5.371
0.182,-0.027,0.938,109.680,-40.955,0.610
0.132,-0.104,0.721,82.031,-23.987,-1.221
0.109,-0.223,0.173,-53.284,52.063,-8.972
0.072,-0.174,0.088,-149.292,111.755,-15.503
0.245,-0.262,-0.005,-128.967,79.590,-20.874
0.192,-0.260,-0.060,-106.506,-14.099,-3.174
0.357,-0.386,0.998,89.355,-164.368,11.169
-0.125,0.238,3.386,158.203,-357.117,66.162
-0.477,0.180,2.045,17.883,27.649,38.391
-0.121,-0.028,0.492,-43.213,258.362,-10.742
0.149,-0.067,0.156,-157.471,134.399,-20.020
0.343,-0.220,0.066,-7.690,37.476,-18.616
0.336,-0.129,0.555,16.418,-35.645,-2.075
0.211,0.072,1.122,75.562,-81.482,14.343
0.075,0.083,1.363,97.046,-79.224,17.883
-0.010,-0.110,1.350,44.983,-32.532,5.127
0.144,-0.071,1.207,-1.770,8.179,0.793
0.140,0.151,1.608,12.024,3.540,6.287
0.036,0.099,1.407,23.254,41.199,3.784
0.101,-0.112,0.966,-41.992,94.055,-14.832
0.112,-0.058,0.479,-40.894,69.885,-10.071
0.160,-0.035,0.618,87.646,-44.556,9.583
0.232,-0.142,0.774,131.592,-74.707,6.104
0.100,-0.205,0.538,3.723,18.555,-2.258
0.104,-0.125,0.180,-137.390,96.863,-7.202
0.183,-0.210,-0.036,-168.701,104.736,-15.076
0.087,-0.167,0.069,-104.492,5.920,-2.502
0.429,-0.156,1.102,95.093,-168.945,19.287
-0.065,0.182,3.277,167.297,-330.994,50.110
-0.352,0.158,1.954,13.000,-3.662,38.330
-0.091,-0.074,0.602,-25.085,227.173,-8.911
0.100,-0.022,0.215,-153.076,133.850,-15.747
0.292,-0.185,0.074,-24.902,49.988,-17.639
0.365,-0.081,0.688,26.917,-48.035,-3.967
0.392,-0.081,1.546,127.563,-100.952,11.719
-0.072,0.146,2.191,86.731,-72.693,12.329
0.062,-0.184,0.944,11.230,92.468,-2.625
0.063,-0.066,0.325,-84.534,104.553,-10.254
0.069,-0.074,0.405,37.170,-4.395,1.282
0.233,-0.012,2.085,122.498,-138.184,15.930
-0.110,0.072,1.446,75.317,-36.133,26.550
0.021,-0.058,0.492,26.245,139.343,-0.305
0.135,-0.096,0.148,-131.653,119.812,-26.306
0.162,-0.198,-0.032,-73.364,95.642,-21.118
0.276,-0.244,-0.102,-113.220,61.218,-13.855
0.273,-0.278,-0.150,-129.944,37.842,-10.620
0.219,-0.127,0.281,-51.331,-59.143,7.019
0.379,-0.294,2.168,226.807,-324.402,37.231
-0.253,0.234,3.803,80.444,-270.874,55.908
-0.274,-0.072,0.837,28.992,91.003,25.330
-0.022,0.001,0.381,-129.150,262.817,-20.508
0.174,-0.194,-0.037,-93.567,63.721,-14.709
0.455,-0.094,0.535,2.686,-5.737,-7.324
0.278,0.039,1.028,68.970,-76.233,8.362
0.099,-0.008,1.355,116.943,-94.727,20.386
-0.066,-0.048,1.439,46.387,-37.720,9.155
0.123,-0.125,1.093,-6.165,23.926,0.305
0.187,0.086,1.309,1.648,18.066,3.967
0.049,0.026,1.281,29.358,37.659,3.174
0.169,-0.094,0.829,-28.503,56.763,-5.371
0.062,-0.015,0.836,26.978,10.803,3.601
-0.348,0.136,1.668,31.067,36.804,36.194
-0.093,-0.111,0.411,-54.016,268.250,-19.165
0.164,-0.075,0.159,-164.917,141.724,-17.517
0.281,-0.223,-0.017,8.911,14.160,-11.902
0.340,-0.126,0.519,5.432,-29.602,1.404
0.224,0.116,1.132,84.045,-93.933,17.395
0.044,-0.049,1.416,110.107,-83.984,18.738
-0.042,-0.047,1.447,31.311,-32.776,6.836
0.188,-0.047,1.175,-3.357,15.625,0.061
0.155,0.064,1.256,6.958,12.634,2.197
0.072,0.089,1.337,17.151,32.593,0.549
0.071,-0.156,0.846,-4.639,42.847,-8.423
0.135,-0.100,0.745,-15.198,45.349,-7.080
0.156,-0.069,0.616,20.630,4.395,2.380
0.205,-0.176,0.630,39.124,-10.803,0.916
0.137,-0.167,0.467,-35.156,30.457,-1.221
0.115,-0.149,0.143,-95.703,51.270,-0.183
0.034,-0.070,0.351,-103.271,36.133,-0.122
0.349,0.092,1.348,53.894,-104.614,12.695
0.038,0.086,2.665,145.569,-232.544,29.297
-0.194,0.088,1.658,12.268,-42.297,25.513
-0.043,-0.128,0.717,-13.794,146.973,-5.127
0.129,-0.066,0.403,-101.379,102.905,-10.498
0.263,-0.085,0.421,-32.043,46.936,-6.653
0.251,0.039,0.885,28.198,-34.973,3.174
0.132,0.030,1.150,66.772,-53.284,6.897
0.120,-0.081,1.304,56.335,-38.391,3.174
0.071,-0.017,1.497,28.931,-18.066,2.869
0.079,0.092,1.347,3.479,46.692,0.854
0.060,-0.126,0.842,-19.592,57.922,-8.667
0.089,-0.088,0.620,-18.982,47.241,-6.042
0.145,-0.037,0.620,40.100,-17.944,6.653
0.233,-0.143,0.905,103.577,-55.237,7.263
0.114,-0.180,0.721,12.451,14.893,1.526
0.115,-0.158,0.302,-97.961,67.444,-1.221
0.138,-0.144,0.035,-156.921,91.248,-5.798
0.277,0.060,0.840,-95.642,20.569,-1.953
0.427,-0.249,1.622,169.250,-211.731,17.822
-0.096,0.135,2.440,83.374,-223.572,39.246
-0.173,0.058,1.629,0.549,54.443,13.428
-0.007,-0.077,0.661,-34.424,164.062,-11.658
0.153,-0.100,0.270,-99.304,93.933,-9.949
0.270,-0.098,0.386,-16.602,29.297,-6.104
0.307,0.064,1.097,53.528,-53.955,3.845
0.177,0.054,1.863,118.713,-80.017,11.536
-0.086,0.079,1.566,29.053,-9.155,5.554
0.086,-0.060,0.362,-37.842,52.368,-6.958
0.169,-0.118,1.250,92.712,-82.092,6.409
0.105,-0.085,2.056,73.181,-107.544,15.503
-0.005,-0.159,0.570,56.824,107.056,12.512
0.057,0.017,0.288,-114.380,145.752,-4.211
0.181,-0.207,-0.065,-86.731,88.806,-21.179
0.286,-0.264,-0.090,-109.436,59.509,-17.456
0.272,-0.255,-0.063,-108.948,24.231,-5.493
0.461,0.286,1.469,-49.561,-51.758,17.212
0.239,-0.095,2.535,252.563,-305.298,33.997
-0.252,0.214,2.934,52.185,-243.103,55.542
-0.216,-0.026,1.179,6.470,92.346,10.437
0.017,-0.083,0.456,-87.952,228.821,-22.522
0.226,-0.130,0.179,-112.610,88.989,-12.756
0.356,-0.090,0.508,15.015,-1.526,-4.089
0.262,0.023,0.956,52.124,-59.082,8.423
0.100,0.065,1.196,78.979,-63.904,13.306
0.007,-0.133,1.183,60.608,-35.889,3.784
0.122,-0.113,1.332,10.925,-5.188,-1.953
0.111,0.068,1.254,15.076,-1.160,7.996
0.030,0.016,1.135,7.263,39.917,0.610
0.094,-0.100,0.802,-27.405,51.208,-11.475
0.077,-0.046,1.251,31.677,-19.043,4.822
0.101,-0.009,1.929,69.336,-101.135,28.320
-0.031,-0.050,0.898,97.290,53.101,17.822
0.065,-0.012,0.310,-9.949,128.540,-1.221
0.257,-0.239,0.060,-128.967,140.442,-39.307
0.323,-0.275,-0.117,-123.901,120.605,-31.128
